"job_id","job_title","job_location","job_schedule_type","salary_year_avg","company_name","job_posted_date"
226942,"Data Analyst","Anywhere","Full-time","650000.0","Mantys","2023-02-20"
547382,"Director of Analytics","Anywhere","Full-time","336500.0","Meta","2023-08-23"
552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","AT&T","2023-06-18"
99305,"Data Analyst, Marketing","Anywhere","Full-time","232423.0","Pinterest Job Advertisements","2023-12-05"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","Uclahealthcareers","2023-01-17"
168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","SmartAsset","2023-08-09"
731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","Inclusively","2023-12-07"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","Motional","2023-01-05"
1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","SmartAsset","2023-07-11"
387860,"ERM Data Analyst","Anywhere","Full-time","184000.0","Get It Recruit - Information Technology","2023-06-09"
